日期,teacher,备注,PV,UV,PV/UV,转化率,账户消耗,实际消耗,曝光量,点击数,点击率,播放量,完播率,完播数,订阅数,转微数,点击转微率,订阅率,播放转微率,粉转微率,CPM,CPC,完播成本,订阅成本,转微成本
2019.07,1,都业华,,,,,,65115.0,,,,,,,1685,187,,,,0.110979228486647,,,,38.6439169139466,348.208556149733
2019.08,1,都业华,,,,,,38481.0,,,,,,,2111,225,,,,0.106584557081952,,,,18.2288015158693,171.026666666667
2019.09,1,都业华,,,,,,99000.0,,,,,,,2901,751,,,,0.258876249569114,,,,34.1261633919338,131.824234354194
2019.1,1,都业华,,,,,,75166.0,,,,,,,1877,758,,,,0.403835908364411,,,,40.0458177943527,99.1635883905013
2019.11,1,都业华,,,,,,295681.06,,,,,,,3759,1483,,,,0.394519819100825,,,,78.6594998669859,199.380350640593
2019.12,1,都业华,,,,,,287690.672,,,,,,,4763,1744,,,,0.366155784169641,,,,60.4011488557632,164.960247706422
2020.01,1,都业华,,,,,,238287.43025,,,,,,,4240,1772,,,,0.417924528301887,,,,56.199865625,134.473719102709
2020.02,1,都业华,,,,,,289986.08625,,,,,,,9844,3258,,,,0.330963023161317,,,,29.4581558563592,89.0073929558011
2019.07,2,曹茂桂（旧）,,,,,,10646.0,,,,,,,334,26,,,,0.0778443113772455,,,,31.874251497006,409.461538461538
2019.08,2,曹茂桂（旧）,,,,,,64416.0,,,,,,,1232,137,,,,0.111201298701299,,,,52.2857142857143,470.189781021898
2019.09,2,曹茂桂（旧）,,,,,,47318.0,,,,,,,1915,245,,,,0.127937336814621,,,,24.709138381201,193.134693877551
2019.1,2,曹茂桂（旧）,,,,,,53606.0,,,,,,,963,330,,,,0.342679127725857,,,,55.6656282450675,162.442424242424
2019.11,2,曹茂桂（旧）,,,,,,36000.0,,,,,,,682,258,,,,0.378299120234604,,,,52.7859237536657,139.53488372093
2019.12,2,曹茂桂（旧）,,,,,,43217.996,,,,,,,1164,303,,,,0.260309278350515,,,,37.1288625429553,142.633650165016
2020.01,2,曹茂桂（旧）,,,,,,54363.361,,,,,,,1555,474,,,,0.304823151125402,,,,34.9603607717042,114.690635021097
2020.02,2,曹茂桂（旧）,,,,,,46807.31125,,,,,,,2568,343,,,,0.133566978193146,,,,18.2271461253894,136.464464285714
2019.07,3,曹茂桂,,,,,,118125.0,,,,,,,2798,942,,,,0.336669049320944,,,,42.2176554681916,125.398089171975
2019.08,3,曹茂桂,,,,,,360690.0,,,,,,,6513,1700,,,,0.261016428681099,,,,55.3800092123445,212.170588235294
2019.09,3,曹茂桂,,,,,,0.0,,,,,,,1771,616,,,,0.347826086956522,,,,0.0,0.0
2019.1,3,曹茂桂,,,,,,1247.0,,,,,,,924,427,,,,0.462121212121212,,,,1.3495670995671,2.92037470725995
2019.11,3,曹茂桂,,,,,,285905.51,,,,,,,3911,1917,,,,0.490155970340066,,,,73.1029174124265,149.142154407929
2019.12,3,曹茂桂,,,,,,68289.982,,,,,,,2105,694,,,,0.329691211401425,,,,32.4417966745843,98.4005504322767
2020.01,3,曹茂桂,,,,,,8802.08,,,,,,,260,204,,,,0.784615384615385,,,,33.8541538461538,43.1474509803922
2020.02,3,曹茂桂,,,,,,36580.3642857143,,,,,,,838,230,,,,0.274463007159905,,,,43.6519860211388,0.0
